publisher_id,publisher_name
207,Dominic Mann
172,Donald Shaw
83,Dr. Aruna Polisetty
101,Dr. Carrie Rose
151,Dr. Paramesh Shamanna
16,Duncan M. Hamilton
114,Eckhart Wein
228,Ed Rush & Associates
306,Education Publishing
298,Eliot Hawkins
153,Elizabeth Wells
348,Ellis James Stewart
30,Enclave Publishing
352,Endeavour Press
47,Entrepreneur Publishing 
93,Entrepreneurship Facts
398,Eric Bodnar
24,Erik Carter
415,Eryk Salvaggio
269,Faizan Aziz
51,Famous Billionaire Collection
29,Fernando Gamboa
407,First Summit Project
183,Funny Joke Books
350,G Young
162,Gaius Publishers
372,Geoff Greig
277,George Icahn
35,George Ilian
360,George Mahood
124,GoalKicker.com
158,GOOD ADVICE SELF-HELP BOOK PUBLICATIONS
169,Grapevine India Publishers
115,Greg Lim
44,Gregory Watson
220,Growth Publishing
136,H M W Publishing
260,Half Baked Beans
248,Harlequin/Mills&Boon
326,Head of Zeus
304,Head of Zeus Ltd
408,Heather Hackett
139,Hideko Izumi
36,Hourly History
329,Hugo Huesca
334,I H Laking
233,Ian Tuhovsky
318,Imhotep Literary
230,Influential Individuals
226,Inspire3 Ltd
286,Isaac D. Cody
58,Ivan Fernandez
265,J. Alchem
92,J. D. Maxim
327,J.A. Cipriano
345,JAB Publishing
196,Jai Seelan
6,Jaico Publishing House
291,James Chapman
270,James Egan
110,James Harley
205,James Horton
55,Jamie Cooper
317,Jan Stryvant
293,Jared Hendricks
406,Jason R. Hemmings
363,Jason Smith
177,Jeff Styles
187,Jeffrey Mason
161,Jennifer Atkins
399,Jess Roche
142,Jessica Bingman
267,Jithin Emmanuel Jacob
176,Joe King
383,Johann Reinhart Zieger
22,John Dreese
8,John Ellsworth
284,John Gribbin
229,John Sonmez
323,John Van Stry
121,John Wiley & Sons
225,Jon Michael
33,Jordan Marie
276,Josh Memolo
155,Joshua Smith
52,Joy Lincoln
15,K.F. Breene
283,Kai Choo
413,Keith Foskett
203,Keith Lard
70,Kelvin Dorsey
77,Ken McDonald
295,Kenneth Fraser
78,Kevin Bradnik
341,Kevin P. Hunter
367,Khanh Tuan Phung
34,Kindle Press
370,Kiril Valtchev
305,KIV Books
131,Knowledge Powerhouse
87,Kolenda Entertainment
178,Krisanta Bella
255,L.J. Shen
315,La Plume Press
219,Lake Union Publishing
340,Lakes Publishing
368,Larry Hodges
132,Laura Sales
62,Laureate Journal Literature Fraternity
418,Lavon Julian
99,Leaders Press
218,Les Brown
137,Lewis Fischer 
141,Linda Westwood
209,Lioncrest Publishing
194,Lisa Lim
303,Little A
381,Lloyd Camp Consulting
259,Logan Chance
380,Lonely Planet Publications
76,M Pattabiraman
386,Mad-Books.Com
250,Madhumitha Lakshamanan
102,Madhusudan Sohani
107,Mahesh Kaushik
46,Make Profits Easy
112,Manning Publications
2,Maple Press
182,Marcus Rainey
120,Marijn Haverbeke
68,Marion Kummerow
85,Mark Schaefer
214,Martin Meadows
185,Martin Pierce
356,Matt Jordan
123,McGraw-Hill Education
190,Memes Professionals
274,Michael Howard
324,Michael-Scott Earle
7,Mick Bose
369,Mike Kane
231,Mike Pettigrew
278,Miles McDowell
184,Mira Brown
67,Mode ON Publishing
254,Moments Publication
251,Montlake Romance
198,MP Publishing
193,MPG Books Group
208,MR. MARKET
366,Muriel Golden
243,MV Kasi
95,Nanda Kumar K
235,Napoleon Hill
88,Network Marketing Kingdom
74,New Familiar
285,Nicholas Fringe
181,Nina Jasmine
156,Nomi Nicole
202,Oldtown Publishing
43,Om Books International
118,OReilly Media
106,Orient Publishing
268,Owen Zupp
244,P.G.Van Publishing
113,Packt Publishing
328,Pan Books
313,Paragon Press
290,Paul Deveres
188,Paul Milham
281,Paul Stoner
343,Pavel Veresov
119,Pearson Education
237,Penguin Books
63,Peter Jennings
411,Philip Boyd
312,Philip C. Quaintrell
216,Piatkus
224,Plata Publishing
357,Platinum Publishing
245,Pooja Gupta
39,Prabhat Books
79,Prasenjit Paul 
242,Preethi Venugopala
192,Price Publishing
9,Purple Herb Publishing
338,Quirky Algorithms
75,Rajesh Sharma
157,Ramakrishnan B
263,Rashmi Pillai
180,Raucous Publishing
25,Ravi Venkataraman
335,Raymond L. Weil
149,Raza Imam
299,Readtrepreneur Publishing
344,Rebecca Ramsay
241,Reshma Ranjan
412,Rhishikesh Agashe
272,Richard J. Bartlett
166,RICK MARZ
91,Robert Moore
342,Robert Smith
227,RosettaBooks
54,Roy Brandon
247,Rubina Ramesh
249,Rupa Publication
28,Rupa Publications
376,Ryan Patterson
275,Sabarimuthu V
109,Sachin Kumar
201,Sadler Mars
186,Sally Mason
200,Sam Elcot
349,Sam Priestley
173,Samantha Grant
129,Sams Publishing
195,Sara Qurt
384,Sastrugi Press
320,Scott Baird
125,Scott Hartshorn
21,Severed Press
405,SFWP
309,Shaan Changotra
374,Shamrock New Media
294,Shashikant Wavhal
171,Short good jokes
257,Shravya Bhinder
84,Simplicity Marketing LLC
163,Simply Puer
130,Sitepoint
314,SK
19,Skyhorse Publishing
336,Skyscape
204,SOHITH KUMAR
261,Sonali Gogate
382,Southernwood Press
97,SpeakingSherpa LLC
40,Sphere
72,Spice Catalyst Media
239,Srishti Publishers
90,Stan Miller
143,Stem Cell Media
45,Stephen Croke
50,Steve Bailey
385,Steve Hanisch
59,Steve Walters
217,Steven Mostyn
135,Steven Schuster
273,Steven Taylor
212,Steven West
94,Stolly Media
100,Successwise
168,Suchitra Malvankar
264,Sudha Nair
262,Sundari Venkatraman
347,Survive Travel Publications
353,Takanori Diaz
403,Tamizh Publication
332,Tamori Publications
103,TCK Publishing
325,Telemachus Press
311,Terence Morais
321,Thazleena Moidu
175,THE CLOWN FACTORY
127,The Pragmatic Programmers
1,Thomas & Mercer
167,Thomas Rohmer
301,Three Cs Publishing
362,Tiller Roberts
402,Tom Fay
81,Tony Donavan
213,Tony Roe
48,Tony Rohn
377,Tori Neuman
388,Travel Books Publishing
105,Trish Bertuzzi
390,Tristan Higbee
150,Uday Pandey
65,University Press
240,Varsha Dixit
333,Vaughn Heppner
165,Vegan.com
189,Vikram S
393,Vincent Mitchell
42,Virgin Books
37,Virgin Digital
308,Vitadusha Geheimnis
365,Von Krumm Publishing
61,W.S. Winfield
96,Westland ltd
134,White Peacock Books
56,Wilco van Rooijen
128,Wiley Publishing
232,William Heinemann
20,Win Blevins
401,Wizio
154,Wolfpack Publishing
266,Write India Publishers
60,Wyatt North Publishing
104,Xoum Publishing
238,Yogesh Vermani
391,Zephan Blaxberg
145,Zoe McKey
371,Zoltan Andrejkovics
